Accession,Gene,protein length,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.40,prot.41,prot.42,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7,RNA.8,RNA.9,RNA.10,RNA.11,RNA.12,RNA.13,RNA.14,RNA.15,RNA.16,RNA.17,RNA.18,RNA.19,RNA.20,RNA.21,RNA.22,RNA.23,RNA.24,RNA.25,RNA.26,RNA.27,RNA.28,RNA.29,RNA.30,RNA.31,RNA.32,RNA.33,RNA.34,RNA.35,RNA.36,RNA.37,RNA.38,RNA.39,RNA.40,RNA.41,RNA.42,GR.cluster,NM.cluster,GR.Pearson.r,NM.Pearson.r,all.Pearson.r,GR.Spearman.rho,NM.Spearman.rho,all.Spearman.rho
P14126,RPL3,387,10529.6708,9178.707781,9047.091645,15152.64982,15488.91996,14560.3582,8077.997611,8282.936217,10677.03686,13128.71009,11566.22381,11078.0714,14089.91022,14131.37233,13804.45725,26686.99434,28253.35162,27715.10309,41059.30344,46335.87757,41049.09591,25366.39257,30244.12166,33412.73852,21486.29708,13186.79499,14977.42731,9447.670753,15638.01279,15537.59288,16956.77392,21037.27276,18237.48853,17376.74629,15973.25824,17440.58088,13773.07127,19057.39484,14346.23528,19852.10129,17860.43939,19916.22052,0.687899666,0.173951824,0.792867613,2.266435618,2.340015782,2.214275836,0.834574648,0.914016065,1.061964987,1.105490823,1.088192511,0.991863456,1.911627999,2.158925236,1.75504816,3.279787381,3.255954941,4.391441081,6.667483657,6.282705564,8.005257835,3.806699947,2.734131188,2.880919875,2.755832109,2.446225893,2.189829553,1.118975633,0.57822937,0.771871966,0.978360268,0.997719495,0.807714454,0.972534276,0.965450952,0.960623085,1.438538149,1.464931104,1.221239394,1.087863765,0.513648858,0.975479537,1,1,0.966467027,0.521087847,0.859150652,0.946336429,0.232600733,0.560651487
P14164,ABF1,731,129.53992,125.0263818,106.6061618,164.6510449,164.6257019,127.2632636,91.66639615,116.8708269,74.80935308,161.0882254,131.3882073,139.9503083,164.2515391,130.6722646,143.0861666,201.7998266,209.047429,220.6434878,233.7250068,304.6981131,249.1830274,150.5507698,197.891355,190.9348462,175.458827,114.548412,141.3997937,119.9362877,173.9139529,175.4039171,155.1056667,164.0780088,153.8833894,201.1641367,183.1691176,188.3148259,130.856002,165.5222144,123.5522573,233.7627731,258.7363002,190.396481,0.19742876,0.120122735,0.25680855,0.460510277,0.434299071,0.378639391,0.235933583,0.267349822,0.272389991,0.294052587,0.273011106,0.276794244,0.440286322,0.412978587,0.431002986,0.481160378,0.454012526,0.508207135,0.711016377,0.700885782,0.90661811,0.580442125,0.505922404,0.534789123,0.351192223,0.350028327,0.345170625,0.257647035,0.206828742,0.180045703,0.153061719,0.157838152,0.138237254,0.229982382,0.239588982,0.230198096,0.266695536,0.325081774,0.260174199,0.229540129,0.187017766,0.231187586,3,1,0.853092707,-0.042565313,0.490488343,0.913312693,-0.173382173,0.287253869
P14180,CHS2,963,8.48885309,7.295761152,7.176876935,10.75622043,11.3563259,9.930297203,7.793656518,8.317997628,7.956201973,11.42669009,9.802466882,10.00446451,10.42997908,10.47009438,12.13052148,17.9674336,17.46940288,15.78829555,17.64667752,16.06248751,17.6244615,15.47216422,17.37731634,14.70428908,13.72879965,9.279722787,11.75447436,7.147670173,13.37423124,13.39871459,15.64679573,17.94618491,16.6091976,16.34658041,14.94782308,17.00639867,10.91871176,12.69911938,10.46798303,13.90885836,15.767886,13.87352063,0.07696989,0.060297613,0.109673144,0.169838656,0.179944591,0.153968956,0.111468548,0.121706386,0.124365025,0.124421489,0.136140159,0.128313391,0.202828695,0.193727448,0.196345481,0.248180631,0.246865492,0.264616597,0.353248737,0.331298819,0.45840127,0.248281816,0.206323676,0.223755712,0.194474948,0.219708713,0.213414807,0.139984258,0.122693839,0.098868686,0.0871568,0.089664885,0.087781302,0.144740224,0.150942702,0.16725607,0.14583938,0.174183656,0.143766417,0.132543009,0.12172113,0.135103587,1,2,0.879139149,-0.00727049,0.46937213,0.909184727,-0.047619048,0.412851471
P14306,TFS1,219,23.84800896,25.06885785,27.0449022,42.60715913,42.98992263,29.29077651,0,13.64863401,29.90807421,0,15.61075887,17.11185575,12.96065833,11.93193686,16.05097256,4.270507089,5.766351722,0,3.46428972,0,7.426678071,40.56916889,45.39053203,42.57932021,25.69004609,0,20.91199755,14.81125459,26.84856,26.47480962,34.33121989,39.14901668,0,28.59735409,31.24821114,0,16.52613616,22.4678212,22.4968921,21.23798087,0,22.80551937,0.594375572,2.200561169,0.58488425,1.69579287,1.462293775,1.588077024,0.415167971,0.492950514,0.522088249,0.443290029,0.428280266,0.443014862,0.624831357,0.468421871,0.494178343,0.217389686,0.263371181,0.235465002,0.279177568,0.305359706,0.372255855,2.164728333,1.770099672,2.096922091,1.331293493,1.43313093,1.513135198,0.494384397,0.955458627,0.398349425,0.364762964,0.414154685,0.420279388,0.547740029,0.52723407,0.630666793,0.340632854,0.454816501,0.41537941,0.428101936,0.936158703,0.538229262,2,1,0.512883293,0.449578611,0.543215904,0.741711222,0.3864072,0.490937085
P14540,FBA1,359,56449.54968,47766.8736,56991.28307,42099.47095,49331.57748,35931.70648,32782.22646,34981.61016,76612.22189,46629.65738,35603.52177,42386.33983,37120.66515,38382.38635,36509.84903,61333.06724,60241.46,57666.49824,63549.66339,64593.75803,80211.25871,40257.32116,49436.90209,43779.31263,61041.45893,46935.92956,72400.85314,37936.94501,59026.07264,54350.36098,57858.46906,64481.76668,55044.70076,68812.39948,60471.06662,50895.27771,43007.7496,48698.01262,72797.73008,96617.88296,74811.27642,85515.02605,6.45312241,5.626489971,7.363102824,14.92106954,13.19146556,12.72635657,5.119268886,6.318254379,6.234588142,5.270764792,4.986633281,5.196584888,6.844394386,7.463507779,6.849099672,8.950248919,9.049317486,11.75876841,17.39955224,17.43242028,19.97952547,20.04784403,15.41731825,18.24182887,22.66630282,23.7893913,22.67632525,5.593605306,5.484163786,4.134935038,3.953719771,4.148999633,3.637488749,5.173480212,5.195479914,5.163214146,6.255613933,7.729247166,6.734083144,5.158881244,5.942992544,5.677172736,3,1,0.669812235,-0.216144361,0.036222429,0.68627451,-0.230769231,0.018556033
P14680,YAK1,807,83.2217162,76.59652374,65.78537243,87.24068902,87.47201323,77.15132757,54.53280197,56.7115111,66.94117982,77.69417486,65.8285626,70.14555645,59.90027096,60.45198392,68.16083735,50.10803583,62.93847466,55.17130211,57.52722207,58.31719203,81.34259526,106.0704275,140.1188398,92.30574479,90.89966142,55.20334905,66.88359292,57.1868481,96.88895642,93.44129923,98.30414975,104.5172044,108.4178311,109.8496983,99.86875991,100.9263117,63.76787423,85.80304671,65.53168034,92.70991135,92.74960408,81.38535702,0.189992872,0.429071927,0.241876609,0.435735417,0.405561757,0.385699124,0.183490917,0.210839406,0.201584724,0.196458005,0.191439376,0.188861119,0.249123081,0.228220711,0.245135025,0.197320033,0.211367326,0.21007191,0.299706962,0.272136738,0.344176513,0.552751038,0.468229706,0.52809302,0.390686891,0.440571692,0.425993821,0.209781686,0.228530279,0.151098553,0.124053485,0.13204704,0.128663976,0.162371084,0.177777178,0.193059285,0.177720489,0.22578736,0.21564076,0.168092561,0.179155001,0.185742328,2,1,0.308158329,0.078625816,0.134318542,0.056759546,-0.225885226,-0.179320963
P14681,KSS1,368,25.25817612,18.81143494,23.51009008,21.51171483,25.93262466,16.6663943,16.52953272,19.26313416,20.19055322,24.58464936,22.2281435,21.36996529,22.86203635,21.48330907,23.89240883,33.35960236,29.89920973,19.20950676,33.54013478,20.92466876,30.0985564,25.71970707,35.6479287,25.50611913,27.4717593,22.38947264,26.86565786,20.13541755,28.81777941,33.84040561,27.61099511,29.89619318,34.3433302,35.605753,34.43340746,34.71615244,23.7106063,31.98372401,24.69277001,40.55394315,37.04838622,33.63628626,0.099718307,0.047306712,0.12204519,0.226024203,0.236900565,0.202100655,0.089543941,0.112168739,0.11933242,0.111360118,0.109648826,0.108995179,0.156879186,0.180041635,0.169413813,0.197153699,0.176433052,0.213304619,0.31642402,0.243720161,0.359633775,0.33687111,0.271383006,0.299847353,0.280298108,0.286110226,0.276373442,0.113882391,0.089892982,0.084222291,0.122173982,0.133882708,0.113256731,0.171250161,0.179179976,0.177721687,0.196146268,0.225697411,0.198765611,0.13963755,0.101752204,0.12817664,3,1,0.621748723,-0.11009777,0.101263198,0.471620227,-0.098290598,0.131999028
P14682,CDC34,295,7.912180686,0,9.410480372,20.84229352,0,18.33815157,7.48616366,9.376551423,3.072078292,10.30223542,7.819203794,0,10.97005336,12.19795795,10.61521695,0,15.72565346,14.75588929,18.3224764,17.93252133,21.60110874,26.5357256,0,35.5942351,27.65467955,15.49353131,15.99749656,6.296516746,0,15.85780259,0,24.04470711,23.05101284,15.79863271,0,14.88752019,17.25634261,0,16.84709189,10.66002877,16.08786702,7.142042467,0.387946037,0.450340849,0.473760519,0.963865468,0.873844087,0.771573205,0.388427444,0.436572547,0.446459427,0.430628138,0.422568434,0.40050171,0.63438034,0.602682487,0.646586221,0.616599599,0.619760394,0.685183794,0.824472227,0.880765738,1.160180396,1.167717123,1.027541796,1.126440832,1.047057813,1.086992859,1.034526554,0.428022701,0.359177326,0.292545351,0.297554927,0.303075302,0.256176286,0.353921509,0.394328312,0.378165255,0.480835427,0.578383063,0.495640711,0.357814061,0.375837221,0.400933051,3,1,0.758039143,0.362614015,0.43368316,0.755947842,0.225567163,0.316020383
P14693,SAM35,329,61.95222747,45.00895743,54.29001545,67.29573353,52.88406148,55.6443387,48.85605421,47.71570682,42.67663219,64.61357986,48.38853198,57.43745519,56.07825349,58.19084329,55.85689186,89.42477181,79.50720615,78.11683625,85.3287524,78.14676579,90.95189024,64.51966893,65.58548365,58.48992186,70.63783855,50.43810799,57.31352802,32.6371044,63.3130554,59.47510602,62.2125493,80.02676541,82.42698306,75.36414776,66.06967387,67.81373445,53.97745318,50.75663285,54.23587768,88.66603084,59.7035142,67.57035191,0.208926003,0.215057907,0.241360905,0.373617481,0.372198319,0.316168831,0.203017068,0.232695201,0.24260998,0.214577007,0.231300211,0.217809621,0.309453674,0.306489538,0.303274158,0.331823657,0.329770318,0.372322384,0.570805279,0.52608267,0.742918188,0.526978239,0.437239041,0.492507217,0.455590757,0.462256335,0.465256642,0.260567325,0.22914043,0.154470857,0.155891212,0.158229573,0.150590823,0.185294071,0.206641786,0.216257756,0.250505903,0.3018945,0.273881753,0.218689537,0.210518096,0.217832038,3,1,0.770990158,-0.179478199,0.291447485,0.655314757,-0.307692308,0.089376874
P14737,RAD9,1309,0.892209549,0.598699376,0.65422118,0.857753208,0.831173517,0.943982366,0.477987592,0.541653007,0.547621486,0.563728001,0.479609905,0.52439814,0.587450775,0.587981415,0.663481111,1.033049552,0.922957976,1.022921372,0.953995303,0.998137222,0.982915785,1.297905112,1.31803004,1.329688534,1.347269507,0.73401611,0.783899649,0.373929388,0.632013115,0.74055466,0.806511033,0.958947099,0.879244168,1.170699134,0.812414619,0.807481137,0.956289786,1.132170984,0.724047288,0.804284147,0.860231449,0.619859302,0.058536711,0.040824747,0.07380232,0.145064231,0.126629957,0.102929411,0.062073423,0.068901176,0.072640187,0.069706262,0.066917557,0.063257057,0.099061745,0.091097197,0.0952547,0.123807408,0.10587144,0.114178741,0.158620163,0.168291722,0.198571281,0.154210942,0.134590029,0.134813381,0.129160736,0.114729849,0.097295537,0.06502094,0.048610673,0.043086286,0.039753173,0.038042344,0.029199117,0.049804852,0.054199491,0.048176912,0.074719471,0.086089281,0.076444234,0.063148036,0.047630617,0.057377191,3,1,0.747618423,0.51739177,0.494217329,0.737874097,0.312576313,0.420954542
P14741,GCN3,305,282.1901949,261.8592267,259.5773069,452.440487,522.2747337,481.3024035,233.5579607,257.3772638,174.5157659,313.031503,249.4823661,282.6842334,348.0471569,307.4680221,327.7638339,484.1990967,474.6971866,535.2543389,541.3577079,550.1881934,586.3037204,626.235087,812.4939749,727.8681871,697.9631459,391.9036879,432.7256791,207.0797314,458.4022512,400.3236174,679.4667814,774.629275,603.4038599,460.6795461,410.5605702,463.4559671,424.2733687,648.7721114,393.642536,385.0167585,483.8910159,336.1999531,0.133240311,0.046875531,0.161619962,0.344863395,0.361253389,0.303474374,0.147330622,0.166174047,0.18511493,0.167278766,0.170665885,0.169005302,0.281795279,0.296251746,0.270074117,0.451566835,0.405904463,0.481153326,0.676585401,0.667339982,0.80132086,0.546753369,0.423769295,0.39879869,0.402084275,0.370544028,0.325967204,0.174052495,0.109843313,0.113580173,0.124707776,0.130684923,0.103384365,0.158379135,0.169859406,0.14677753,0.196740011,0.228723504,0.200208428,0.169125933,0.11509946,0.165841694,1,1,0.93346695,0.393872677,0.430289927,0.82249742,0.2002442,0.372498177
P14742,GFA1,717,941.9650545,789.311356,906.0123276,1269.868127,1512.454886,1199.221899,760.9178495,858.1231809,1026.137428,1122.423,1041.938642,940.6430568,1005.692567,984.3471553,1100.63436,1012.405041,1107.515927,969.7859541,1091.775447,1042.121598,1113.242281,1387.36076,1915.937338,1797.68635,2040.976379,1016.953892,1226.108946,856.37845,1405.991716,1454.57517,1681.288979,1968.2767,1648.14806,1569.704346,1509.128111,1617.706222,1152.240986,1666.973729,1168.197203,1245.389373,1374.722349,1271.778107,0.319443835,0.175097515,0.399977098,0.832152262,0.805714729,0.713253879,0.38588696,0.440637484,0.485618898,0.453635545,0.461403928,0.432464008,0.629108918,0.636589718,0.657262223,0.579414015,0.621789297,0.641739437,0.974229552,0.869406688,1.082972599,1.005694374,0.824372789,0.926300142,0.781379363,0.829175341,0.791198614,0.45471906,0.35818242,0.328753978,0.303594652,0.31175588,0.297636069,0.512942927,0.54242209,0.505613769,0.544941436,0.638128297,0.57042815,0.446021336,0.352045913,0.435411117,3,1,0.671591535,0.131897468,0.124944971,0.69246646,0.000610501,0.118061745
P14743,NMT1,455,153.9550799,143.4016986,149.9101002,173.1953123,172.2789351,140.968177,105.2680367,126.4312767,105.519048,149.64137,147.1325446,138.1118115,138.5879957,154.1335569,170.3156911,203.0260242,226.995243,203.2918011,242.5283947,222.3724175,255.1529682,280.7647202,327.0110439,298.4817173,264.6327878,142.8132975,169.5218668,79.23479972,169.2119777,163.0614528,210.6973851,261.8912232,234.8340067,203.4656637,185.1137544,188.2041517,169.4378883,227.793128,147.8975767,178.368922,190.2428833,148.5212302,0.162675338,0.09163523,0.196111268,0.420228129,0.399643356,0.343930165,0.173075868,0.196468704,0.205490971,0.211554965,0.222415509,0.198456549,0.352635119,0.326973142,0.348535864,0.447601895,0.4346329,0.473681405,0.656129874,0.672949665,0.803894548,0.568018078,0.486771625,0.473731837,0.4227418,0.409978959,0.383776066,0.211641791,0.15390739,0.138819493,0.15354553,0.155064141,0.149349868,0.173806551,0.194638401,0.177314931,0.267750636,0.321236529,0.286428387,0.228276896,0.165654978,0.203719587,1,1,0.897986002,0.462169622,0.533584256,0.770897833,0.194749695,0.381411555
P14747,CMP2,604,153.7633317,121.9039476,128.4574444,177.6009433,141.7153333,141.6280683,107.740232,121.8121377,130.362726,216.5285504,183.6140342,186.4376422,199.8273376,209.8187043,191.4692313,301.4385796,295.8440864,170.8481465,289.6562249,437.0272728,336.6454278,150.7036093,143.2765553,172.7586551,194.2823853,145.8026897,191.7973837,158.6719776,242.4727887,248.3181683,215.7645289,234.8541615,221.1099533,284.705551,288.523841,306.5122104,177.780245,182.2334778,177.1532564,264.5423789,332.2194247,327.0405763,0.128935526,0.160752777,0.163007182,0.325013572,0.324618774,0.305643107,0.140660054,0.175454364,0.171895238,0.176827984,0.174783674,0.166367473,0.270450643,0.268450644,0.260655988,0.293034301,0.271403615,0.315816597,0.402122383,0.392304847,0.509691304,0.452661995,0.365529934,0.429286758,0.334608924,0.362114202,0.339176567,0.175514684,0.155853539,0.128592187,0.106405142,0.111291952,0.106328658,0.156431075,0.167698355,0.164817138,0.171982139,0.212689697,0.183473203,0.151904758,0.143921555,0.169021385,3,1,0.807335091,-0.467265859,0.090504642,0.810113519,-0.507936508,-0.074305162
P14772,BPT1,1559,6.09559893,5.506150282,5.292508843,7.216001153,6.624900413,6.372865635,5.156262733,5.414858425,5.126888698,6.541378915,5.298350438,6.213917103,6.277945517,5.68754829,6.594245821,7.344057968,7.455467382,7.254181053,7.853186065,7.621131742,8.549903054,11.25960831,13.44759325,14.90587573,13.34636513,6.055371699,7.357266789,3.927075454,7.598819858,8.111284246,7.134313564,9.044438943,7.174596122,10.69302807,9.304552361,9.60963586,8.063073215,9.999497688,7.277476316,6.963065239,9.423526619,7.953371227,0.059772496,0.093684574,0.064870562,0.131428688,0.114113741,0.106299742,0.057111748,0.06270959,0.065460552,0.057644917,0.054042779,0.058888032,0.076647336,0.075807479,0.075333375,0.090644484,0.085178273,0.086081552,0.128885389,0.124706665,0.14361945,0.173061887,0.13686279,0.167730707,0.143827926,0.1490696,0.127977495,0.062282564,0.06240529,0.043104275,0.035665656,0.040549778,0.03839156,0.05309193,0.049739746,0.054354472,0.062534387,0.073523961,0.066330578,0.053209347,0.057596486,0.059733171,3,1,0.810936954,0.449763615,0.44403251,0.708978328,0.158730159,0.152904951
P14832,CPR1,162,46232.17894,44930.55795,59536.76819,61114.82033,71691.0948,36899.7175,32801.09349,37875.69176,88186.97123,58829.95458,46948.0425,46907.36851,38331.2414,37448.30904,43106.37686,43906.63921,50823.31519,43668.69587,49540.86481,63809.04248,67159.8278,65504.5691,107317.714,71746.20813,53072.54027,30183.41207,47992.50183,37421.15906,65182.27786,51832.59138,31689.47119,34820.40833,32797.73783,73465.90774,67586.06447,42892.83806,30087.9297,47034.47495,42733.9549,89924.26241,70613.33362,56021.91864,4.013187068,5.317451589,4.257479003,8.934650106,7.812772978,8.233493681,3.198145088,3.718059481,4.017534714,3.41676486,3.151893495,3.296414198,4.257351491,4.34614648,3.951484746,3.655700696,3.848497292,4.668552386,6.265689526,6.686814555,7.528334209,11.87403179,9.005295744,10.24497067,8.565472594,7.95523051,7.581211587,3.728485929,4.160519854,2.891032886,1.065721343,1.080954088,1.003580842,2.384860302,2.327012022,2.264874485,2.692220438,3.392776902,3.057567603,2.903742891,3.900330461,3.407773558,2,1,0.354928017,0.325001607,0.34734933,0.296181631,0.388888889,0.326634795
P14843,ARO3,370,252.8896608,244.9308867,217.2026389,590.7344887,588.8225654,556.5215868,167.6396705,195.4551092,102.1495473,196.0580579,180.0533182,181.8082241,192.0568734,192.1832264,211.4354647,267.7912116,294.4694715,295.6000003,397.5920731,349.0649251,406.0289379,814.752073,845.5792991,884.1077908,925.2823098,439.2340385,526.0763764,126.0871991,245.2183216,283.1885688,495.6285789,564.6384874,514.8427634,324.9338947,262.4710763,302.7807049,487.1071254,741.6785406,485.5875619,456.1306399,412.1501183,343.3537536,0.281456199,0.158253116,0.326722853,1.368992487,1.31528465,1.0801016,0.276919368,0.310009089,0.32005643,0.310431347,0.300685633,0.297523523,0.472539671,0.502452743,0.484127353,0.724475874,0.73163934,0.872986845,1.263292026,1.236423738,1.56506191,1.864309705,1.471709932,1.500414922,1.346944835,1.284770395,1.141777439,0.318985541,0.229653654,0.200553819,0.386731996,0.400051667,0.331838682,0.279262171,0.312394809,0.298006453,0.427564027,0.679814462,0.781367732,0.421284607,0.304659019,0.441166988,1,1,0.884412331,0.789826918,0.706948481,0.688338493,0.831501832,0.656429787
P14904,APE1,514,780.6371488,1033.833612,1231.976385,1817.550414,1995.009238,1516.889316,759.6009777,1027.671992,532.1679157,667.5543929,574.8276901,630.9925131,646.3328388,726.3319368,912.1700064,1135.61273,1015.82611,693.4429289,770.8243982,629.3743113,800.870178,2691.517915,3942.152953,3727.584216,2645.580359,689.6310194,1025.944469,470.49842,985.9819943,1430.216483,878.7584559,1889.537552,792.8398918,2381.522856,1658.939102,1958.584078,975.7524075,1924.492405,517.7046774,1246.964484,1669.238206,1351.45944,0.255583811,0.204774928,0.325077998,0.543109019,0.529696897,0.496512967,0.324366375,0.375030892,0.387951312,0.372377181,0.380875944,0.360642841,0.626045365,0.594294229,0.594140443,0.620075883,0.662287809,0.735951299,0.950007812,0.876608644,1.121995253,0.681622553,0.573926544,0.641091797,0.376113867,0.381819013,0.388818958,0.362402311,0.351309828,0.315802473,0.148166332,0.164619629,0.153859024,0.312163244,0.32050034,0.347364203,0.270976627,0.325027657,0.305806602,0.362395965,0.357374233,0.411261197,3,2,-0.128211892,0.595705933,0.034907918,-0.164086687,0.401709402,-0.042865246
P14905,CBS2,389,19.67951875,18.85294823,17.51686414,31.08461382,30.57985847,25.47272363,16.75868196,17.56172733,10.30967039,24.5747503,18.7720585,20.00520553,21.85470439,20.71704684,23.3121378,29.22935195,31.21148978,33.60750401,31.27872373,39.10764016,33.82340126,59.87943106,50.73106148,56.7909926,52.3941918,25.31265833,27.75808715,12.06518703,25.53372339,27.37524265,37.27053431,43.95577211,37.63827661,33.42397274,26.28930487,31.74707016,26.58339821,38.19874152,26.87429973,27.16085681,41.56886057,28.8149436,0.101968919,0.128522112,0.130901492,0.299124842,0.299210489,0.258601157,0.116828237,0.122726092,0.140663314,0.139763512,0.149330949,0.141053155,0.24968946,0.208370976,0.243096251,0.298639509,0.299816374,0.300669471,0.423498535,0.415758195,0.540850338,0.418898513,0.370358484,0.420660722,0.301681328,0.313509936,0.31975888,0.139059171,0.105739264,0.083551243,0.14199472,0.163467617,0.138572906,0.143370283,0.167454366,0.156710804,0.185516888,0.212919107,0.19335295,0.14388177,0.11306527,0.130387173,3,1,0.853987199,0.610296935,0.539331885,0.847265222,0.418803419,0.521594684
P14906,SEC63,663,17.50200692,18.751371,13.61317661,27.02861808,20.78872701,18.01153021,13.29832191,12.21865147,15.5051946,21.57707275,19.78383382,20.2482431,24.33681367,24.62421662,21.24971582,43.7597352,47.75427386,51.39462315,60.08831214,66.15576234,71.00010998,34.55700156,34.37630949,27.75495414,26.07768484,20.96947799,20.90979777,13.6615931,27.79847588,22.96596601,23.61525438,26.24036077,28.09384021,24.54097679,28.0479595,29.0166435,20.53184231,24.78028759,23.65364549,37.42660838,32.19921791,38.20044688,0.149344655,0.069682233,0.177835509,0.466010743,0.457007941,0.35355466,0.169004011,0.203165075,0.217336031,0.224061536,0.226268447,0.209484192,0.379618301,0.37441011,0.368740183,0.572904653,0.515021245,0.600282016,0.848563405,0.828637351,1.036013131,0.624605029,0.506142167,0.513310871,0.461397229,0.462677253,0.404702893,0.208433629,0.135377628,0.137365917,0.161147451,0.16675505,0.13882669,0.176247935,0.198722717,0.19397586,0.256649226,0.304398987,0.255506849,0.206120269,0.134340955,0.187869212,1,1,0.96475337,0.139925275,0.779820346,0.91744066,-0.047008547,0.427112876
P14907,NSP1,823,23.88880624,0,23.89763798,37.72246031,0,26.73668368,19.68035419,18.47973162,24.33803209,33.16897554,25.31232438,0,27.91382511,24.74888209,29.31585973,0,45.81861909,41.28826501,51.71418221,49.08212594,64.38077794,94.52373691,0,79.32596846,55.32157884,27.71402502,37.84091746,20.07953361,0,37.72866355,0,53.1305777,46.42327615,41.40560066,0,41.83400892,27.26928511,0,33.08963025,41.93171848,52.06008279,25.66643412,0.104647792,0.0921144,0.134749002,0.272880474,0.267942437,0.219865402,0.122237292,0.145833081,0.141903881,0.144498364,0.128365655,0.135486093,0.201779136,0.200572054,0.188624526,0.248689316,0.221909603,0.255256591,0.343469772,0.349622236,0.468931749,0.376710948,0.291051403,0.327150529,0.304430692,0.302063915,0.296122135,0.145066919,0.118023098,0.094676394,0.094666841,0.097302714,0.082678371,0.112678584,0.11792089,0.112205171,0.15287314,0.176250693,0.153763948,0.119240285,0.097098817,0.12749909,3,1,0.750031577,0.330147932,0.448468544,0.702173167,0.073961478,0.290452127
P14922,CYC8,966,111.575663,105.4967996,92.9571349,112.4187942,108.5847615,107.2514451,97.40677488,100.689802,86.62080992,152.6447039,129.1167606,140.6268949,148.728895,135.2031874,149.3345751,183.8170779,193.262478,181.8223029,192.4148516,186.3913125,212.5574536,154.7775057,176.9280142,216.1981337,150.9631685,88.42524597,113.8152942,86.44654291,144.4562005,154.6394787,156.9922416,169.0823727,169.4045937,173.0065329,158.3450957,171.40315,111.1765504,126.6981357,118.5747068,179.9595676,198.2333432,194.3099712,0.139448156,0.108843305,0.160056393,0.313195213,0.305284046,0.252215549,0.170760531,0.184079703,0.203232944,0.211584665,0.213763648,0.208681619,0.346513304,0.308942428,0.304348101,0.39695365,0.382617611,0.421544147,0.578978938,0.531325947,0.743930123,0.38712224,0.34343685,0.401523211,0.290833167,0.28789585,0.290879543,0.236409027,0.167513821,0.130536851,0.147097295,0.15871481,0.143083535,0.170343535,0.188938903,0.195475438,0.207521242,0.259704247,0.212801839,0.162884448,0.13012702,0.183132876,1,1,0.883710858,-0.081626584,0.439088216,0.876160991,-0.258852259,0.262782595
P15019,TAL1,335,73887.38248,75630.26598,74115.32201,83851.27253,93352.48595,83041.40764,53654.71924,61027.31646,40876.51453,57938.85266,46616.58233,49709.89141,41055.1347,37188.69728,44834.57607,50730.99077,50353.71909,57480.22576,60529.40079,65532.37959,61104.80672,85981.47952,108935.6763,107579.3932,112116.9936,48465.40847,58305.71084,36277.95186,73606.36321,78675.55735,86915.79992,111014.9729,87371.67879,91868.99931,81524.14956,89807.56472,54926.9712,85115.71453,52468.23348,50910.62319,74624.71456,57629.05171,1.13117633,0.905310793,1.317202452,3.288744414,3.008423234,2.802552457,1.309785996,1.536304136,1.689355998,1.407686546,1.412489184,1.380586603,1.932385395,1.90941392,1.850764572,2.351487782,2.2295162,2.658537853,3.801540966,3.759103932,4.66039124,3.667158043,3.012169865,3.393234122,2.47760499,2.673577684,2.551632901,1.468112827,1.304141204,1.065612593,1.150463294,1.194576516,1.083248837,1.37113964,1.42679014,1.439544685,1.549677167,1.870514697,1.647948715,1.181895679,1.833000883,1.157774478,3,1,0.019222018,0.32970317,0.131741764,-0.186790506,0.184371184,0.015638927
P15108,HSC82,705,25846.37123,23701.246,21392.39021,18449.56992,19940.5964,18808.40119,15266.73194,16943.40289,17416.69149,19988.56806,16853.8345,16920.2405,15665.43336,14939.19112,15080.79519,28511.26932,26993.38824,27416.3677,43283.60483,47047.38892,41444.12406,23278.21345,25874.15551,32756.46998,38583.46077,25070.45734,31510.8003,16839.49083,26543.95263,23063.1378,20235.06703,22766.86091,21615.93928,26919.75733,25108.09627,24775.26959,27161.60781,30591.90105,33940.27583,39488.06944,37548.59019,32668.15004,2.191102619,2.75769986,2.932310322,4.56768188,4.297706988,3.854762042,2.138546916,2.502983214,2.539027188,2.174376985,2.193332658,2.066113444,2.906103976,2.801285356,2.911053248,3.83390327,3.807591157,4.56578695,6.481447974,6.865998116,7.984380157,6.56134949,5.484856665,6.149777324,5.815465102,6.509693435,6.281572248,2.102124379,2.188716158,1.615604563,1.154147934,1.268907675,1.129988098,1.479709322,1.594462383,1.564985582,2.610556629,3.354359575,3.039561137,2.244875536,2.497421534,2.129894617,3,1,0.914737301,0.221043533,0.520430289,0.659442724,0.228937729,0.384166599
